Key;HostName;HostTypeID;ActiveUser;OS;OSArchitecture;BiosSerial;SystemManufacturer;LastBootUpTime;SystemProductName;BuildNumber;ONC;Status;Kommentar;LetzteAenderung;isNew
PC-CORP-001__F464931;PC-CORP-001;Arbeitsstation;COMPANY\user001;Microsoft Windows 10 Pro;64-Bit;F464931;Dell Inc.;15.05.2026 07:39:46;OptiPlex 7020;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[226,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.360Z;true
PC-CORP-002__94E70C9;PC-CORP-002;Arbeitsstation;COMPANY\user002;Microsoft Windows 10 Enterprise;64-Bit;94E70C9;Dell Inc.;03.02.2026 09:55:20;OptiPlex 3020M;19045.6332;[1,1]\[1,2]\[2,4]\[2,5]\[257,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-003__B466039;PC-CORP-003;Arbeitsstation;COMPANY\user003;Microsoft Windows 10 Enterprise;64-Bit;B466039;Dell Inc.;18.03.2026 14:59:15;OptiPlex 7020;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[264,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-004__99FCE67;PC-CORP-004;Arbeitsstation;COMPANY\user004;Microsoft Windows 10 Pro;64-Bit;99FCE67;Dell Inc.;05.12.2025 08:54:46;OptiPlex 7020;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[267,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-005__6F6F9DB;PC-CORP-005;Arbeitsstation;;Microsoft Windows 10 Pro;64-Bit;6F6F9DB;Dell Inc.;27.01.2026 09:42:45;Latitude E7470;18362.1256;[1,1]\[1,2]\[2,4]\[2,5]\[315,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-006__FB6F6AA;PC-CORP-006;Arbeitsstation;COMPANY\user005;Microsoft Windows 10 Pro;64-Bit;FB6F6AA;VMware, Inc.;07.02.2021 15:32:50;VMware Virtual Platform;14393;[1,1]\[1,2]\[2,4]\[2,5]\[334,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-007__0DF8E6F;PC-CORP-007;Arbeitsstation;COMPANY\user006;Microsoft Windows 10 Pro;64-Bit;0DF8E6F;Dell Inc.;25.03.2026 08:44:19;OptiPlex 7050;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[341,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-008__34380A8;PC-CORP-008;Arbeitsstation;COMPANY\user007;Microsoft Windows 10 Enterprise;64-Bit;34380A8;Dell Inc.;07.08.2025 08:15:22;OptiPlex 7050;19045.5965;[1,1]\[1,2]\[2,4]\[2,5]\[345,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-009__796D039;PC-CORP-009;Arbeitsstation;;Microsoft Windows 10 Pro;64-Bit;796D039;Dell Inc.;11.12.2025 11:40:17;OptiPlex 7050;19045.6332;[1,1]\[1,2]\[2,4]\[2,5]\[348,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-010__D8C7152;PC-CORP-010;Arbeitsstation;COMPANY\user008;Microsoft Windows 11 Enterprise;64-Bit;D8C7152;Dell Inc.;14.04.2026 12:33:25;OptiPlex 3060;26100.8037;[1,1]\[1,2]\[2,4]\[2,5]\[355,6]\[Allgemein,130]\[Microsoft Windows 11 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-011__4BD5693;PC-CORP-011;Arbeitsstation;COMPANY\user009;Microsoft Windows 10 Pro;64-Bit;4BD5693;Dell Inc.;13.05.2026 11:42:22;OptiPlex 7040;19045.3930;[1,1]\[1,2]\[2,4]\[2,5]\[361,6]\[Allgemein,130]\[Microsoft Windows 10 Pro,131];Neu;;2026-05-18T11:57:15.361Z;true
PC-CORP-012__2BD9EC0;PC-CORP-012;Arbeitsstation;COMPANY\user010;Microsoft Windows 10 Enterprise;64-Bit;2BD9EC0;VMware, Inc.;04.03.2026 14:26:00;VMware Virtual Platform;19045.6456;[1,1]\[1,2]\[2,4]\[2,5]\[368,6]\[Allgemein,130]\[Microsoft Windows 10 Enterprise,131];Neu;;2026-05-18T11:57:15.361Z;true
